config,fitness
"[7, 1, 0, 6, 4, 5, 3, 2]",0.125
"[2, 1, 7, 6, 5, 4, 0, 3]",0.125
"[2, 1, 6, 7, 0, 3, 4, 5]",0.125
"[5, 7, 4, 6, 2, 1, 0, 3]",0.125
"[2, 0, 1, 4, 5, 3, 7, 6]",0.125
"[4, 3, 7, 6, 0, 1, 5, 2]",0.125
"[2, 3, 0, 1, 5, 6, 4, 7]",0.125
"[2, 4, 1, 0, 6, 7, 3, 5]",0.143
"[4, 7, 2, 0, 1, 3, 6, 5]",0.143
"[0, 4, 2, 7, 3, 5, 1, 6]",0.143
"[6, 3, 0, 1, 2, 4, 5, 7]",0.143
"[4, 5, 3, 2, 7, 1, 0, 6]",0.143
"[1, 5, 4, 3, 0, 7, 2, 6]",0.167
"[2, 1, 7, 3, 0, 6, 5, 4]",0.167
"[3, 0, 1, 6, 4, 5, 7, 2]",0.167
"[5, 3, 4, 6, 2, 7, 1, 0]",0.167
"[2, 1, 4, 6, 5, 3, 0, 7]",0.167
"[0, 6, 3, 2, 4, 1, 5, 7]",0.167
"[4, 2, 0, 7, 5, 6, 1, 3]",0.167
"[7, 3, 4, 1, 0, 5, 2, 6]",0.167
"[2, 5, 1, 0, 6, 4, 7, 3]",0.200
"[6, 0, 4, 1, 5, 3, 7, 2]",0.200
"[5, 7, 2, 1, 3, 0, 4, 6]",0.200
"[5, 3, 1, 0, 2, 7, 6, 4]",0.200
"[1, 3, 2, 7, 6, 0, 5, 4]",0.200
"[1, 3, 0, 7, 2, 4, 5, 6]",0.200
"[5, 3, 7, 0, 6, 4, 2, 1]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[0, 2, 6, 5, 7, 3, 1, 4]",0.200
"[0, 7, 4, 5, 3, 6, 1, 2]",0.200
"[0, 5, 3, 7, 4, 2, 1, 6]",0.250
"[1, 7, 3, 6, 2, 4, 5, 0]",0.250
"[4, 1, 5, 7, 2, 3, 0, 6]",0.250
"[2, 7, 3, 4, 6, 1, 5, 0]",0.250
"[6, 4, 3, 5, 0, 7, 1, 2]",0.250
"[6, 3, 5, 2, 7, 1, 4, 0]",0.250
"[4, 7, 1, 2, 5, 6, 3, 0]",0.250
"[3, 6, 5, 1, 2, 0, 7, 4]",0.250
"[7, 2, 3, 6, 1, 5, 0, 4]",0.250
"[2, 7, 3, 1, 4, 5, 0, 6]",0.333
"[1, 6, 3, 5, 0, 7, 4, 2]",0.333
"[1, 4, 7, 5, 6, 2, 0, 3]",0.333
"[6, 3, 5, 2, 7, 0, 4, 1]",0.333
"[6, 3, 1, 4, 7, 5, 2, 0]",0.500
"[1, 0, 2, 3, 4, 5, 7, 6]",0.091
"[0, 4, 3, 1, 5, 6, 7, 2]",0.111
"[0, 7, 2, 6, 5, 4, 3, 1]",0.111
"[0, 1, 5, 3, 2, 7, 6, 4]",0.111
"[7, 6, 5, 2, 4, 0, 1, 3]",0.111
"[3, 2, 5, 1, 7, 6, 4, 0]",0.111
"[7, 1, 0, 6, 4, 5, 3, 2]",0.125
"[2, 1, 7, 6, 5, 4, 0, 3]",0.125
"[2, 1, 6, 7, 0, 3, 4, 5]",0.125
"[5, 7, 4, 6, 2, 1, 0, 3]",0.125
"[2, 0, 1, 4, 5, 3, 7, 6]",0.125
"[4, 3, 7, 6, 0, 1, 5, 2]",0.125
"[2, 3, 0, 1, 5, 6, 4, 7]",0.125
"[2, 4, 1, 0, 6, 7, 3, 5]",0.143
"[4, 7, 2, 0, 1, 3, 6, 5]",0.143
"[0, 4, 2, 7, 3, 5, 1, 6]",0.143
"[6, 3, 0, 1, 2, 4, 5, 7]",0.143
"[4, 5, 3, 2, 7, 1, 0, 6]",0.143
"[1, 5, 4, 3, 0, 7, 2, 6]",0.167
"[2, 1, 7, 3, 0, 6, 5, 4]",0.167
"[3, 0, 1, 6, 4, 5, 7, 2]",0.167
"[5, 3, 4, 6, 2, 7, 1, 0]",0.167
"[2, 1, 4, 6, 5, 3, 0, 7]",0.167
"[0, 6, 3, 2, 4, 1, 5, 7]",0.167
"[4, 2, 0, 7, 5, 6, 1, 3]",0.167
"[7, 3, 4, 1, 0, 5, 2, 6]",0.167
"[2, 5, 1, 0, 6, 4, 7, 3]",0.200
"[6, 0, 4, 1, 5, 3, 7, 2]",0.200
"[5, 7, 2, 1, 3, 0, 4, 6]",0.200
"[5, 3, 1, 0, 2, 7, 6, 4]",0.200
"[1, 3, 2, 7, 6, 0, 5, 4]",0.200
"[1, 3, 0, 7, 2, 4, 5, 6]",0.200
"[5, 3, 7, 0, 6, 4, 2, 1]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[0, 2, 6, 5, 7, 3, 1, 4]",0.200
"[0, 7, 4, 5, 3, 6, 1, 2]",0.200
"[0, 5, 3, 7, 4, 2, 1, 6]",0.250
"[1, 7, 3, 6, 2, 4, 5, 0]",0.250
"[4, 1, 5, 7, 2, 3, 0, 6]",0.250
"[2, 7, 3, 4, 6, 1, 5, 0]",0.250
"[6, 4, 3, 5, 0, 7, 1, 2]",0.250
"[6, 3, 5, 2, 7, 1, 4, 0]",0.250
"[4, 7, 1, 2, 5, 6, 3, 0]",0.250
"[3, 6, 5, 1, 2, 0, 7, 4]",0.250
"[7, 2, 3, 6, 1, 5, 0, 4]",0.250
"[2, 7, 3, 1, 4, 5, 0, 6]",0.333
"[1, 6, 3, 5, 0, 7, 4, 2]",0.333
"[1, 4, 7, 5, 6, 2, 0, 3]",0.333
"[6, 3, 5, 2, 7, 0, 4, 1]",0.333
"[6, 3, 1, 4, 7, 5, 2, 0]",0.500
"[0, 7, 2, 6, 5, 4, 3, 1]",0.111
"[0, 1, 5, 3, 2, 7, 6, 4]",0.111
"[7, 6, 5, 2, 4, 0, 1, 3]",0.111
"[3, 2, 5, 1, 7, 6, 4, 0]",0.111
"[7, 1, 0, 6, 4, 5, 3, 2]",0.125
"[2, 1, 7, 6, 5, 4, 0, 3]",0.125
"[2, 1, 6, 7, 0, 3, 4, 5]",0.125
"[5, 7, 4, 6, 2, 1, 0, 3]",0.125
"[2, 0, 1, 4, 5, 3, 7, 6]",0.125
"[4, 3, 7, 6, 0, 1, 5, 2]",0.125
"[2, 3, 0, 1, 5, 6, 4, 7]",0.125
"[2, 4, 1, 0, 6, 7, 3, 5]",0.143
"[4, 7, 2, 0, 1, 3, 6, 5]",0.143
"[0, 4, 2, 7, 3, 5, 1, 6]",0.143
"[6, 3, 0, 1, 2, 4, 5, 7]",0.143
"[4, 5, 3, 2, 7, 1, 0, 6]",0.143
"[1, 5, 4, 3, 0, 7, 2, 6]",0.167
"[2, 1, 7, 3, 0, 6, 5, 4]",0.167
"[3, 0, 1, 6, 4, 5, 7, 2]",0.167
"[5, 3, 4, 6, 2, 7, 1, 0]",0.167
"[2, 1, 4, 6, 5, 3, 0, 7]",0.167
"[0, 6, 3, 2, 4, 1, 5, 7]",0.167
"[4, 2, 0, 7, 5, 6, 1, 3]",0.167
"[7, 3, 4, 1, 0, 5, 2, 6]",0.167
"[2, 5, 1, 0, 6, 4, 7, 3]",0.200
"[6, 0, 4, 1, 5, 3, 7, 2]",0.200
"[5, 7, 2, 1, 3, 0, 4, 6]",0.200
"[5, 3, 1, 0, 2, 7, 6, 4]",0.200
"[1, 3, 2, 7, 6, 0, 5, 4]",0.200
"[1, 3, 0, 7, 2, 4, 5, 6]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[5, 3, 7, 0, 6, 4, 2, 1]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[0, 2, 6, 5, 7, 3, 1, 4]",0.200
"[0, 7, 4, 5, 3, 6, 1, 2]",0.200
"[0, 5, 3, 7, 4, 2, 1, 6]",0.250
"[1, 7, 3, 6, 2, 4, 5, 0]",0.250
"[4, 1, 5, 7, 2, 3, 0, 6]",0.250
"[2, 7, 3, 4, 6, 1, 5, 0]",0.250
"[6, 4, 3, 5, 0, 7, 1, 2]",0.250
"[6, 3, 5, 2, 7, 1, 4, 0]",0.250
"[4, 7, 1, 2, 5, 6, 3, 0]",0.250
"[3, 6, 5, 1, 2, 0, 7, 4]",0.250
"[7, 2, 3, 6, 1, 5, 0, 4]",0.250
"[2, 7, 3, 1, 4, 5, 0, 6]",0.333
"[1, 6, 3, 5, 0, 7, 4, 2]",0.333
"[1, 7, 2, 3, 6, 4, 5, 0]",0.333
"[1, 4, 7, 5, 6, 2, 0, 3]",0.333
"[6, 3, 5, 2, 7, 0, 4, 1]",0.333
"[6, 3, 1, 4, 7, 5, 2, 0]",0.500
"[7, 6, 5, 2, 4, 0, 1, 3]",0.111
"[6, 4, 3, 7, 5, 0, 1, 2]",0.111
"[3, 2, 5, 1, 7, 6, 4, 0]",0.111
"[7, 1, 0, 6, 4, 5, 3, 2]",0.125
"[2, 1, 7, 6, 5, 4, 0, 3]",0.125
"[2, 1, 6, 7, 0, 3, 4, 5]",0.125
"[5, 7, 4, 6, 2, 1, 0, 3]",0.125
"[2, 0, 1, 4, 5, 3, 7, 6]",0.125
"[4, 3, 7, 6, 0, 1, 5, 2]",0.125
"[2, 3, 0, 1, 5, 6, 4, 7]",0.125
"[2, 4, 1, 0, 6, 7, 3, 5]",0.143
"[4, 7, 2, 0, 1, 3, 6, 5]",0.143
"[0, 4, 2, 7, 3, 5, 1, 6]",0.143
"[6, 3, 0, 1, 2, 4, 5, 7]",0.143
"[4, 5, 3, 2, 7, 1, 0, 6]",0.143
"[1, 5, 4, 3, 0, 7, 2, 6]",0.167
"[2, 1, 7, 3, 0, 6, 5, 4]",0.167
"[6, 3, 5, 2, 7, 0, 1, 4]",0.167
"[3, 0, 1, 6, 4, 5, 7, 2]",0.167
"[5, 3, 4, 6, 2, 7, 1, 0]",0.167
"[2, 1, 4, 6, 5, 3, 0, 7]",0.167
"[0, 6, 3, 2, 4, 1, 5, 7]",0.167
"[4, 2, 0, 7, 5, 6, 1, 3]",0.167
"[7, 3, 4, 1, 0, 5, 2, 6]",0.167
"[2, 5, 1, 0, 6, 4, 7, 3]",0.200
"[6, 0, 4, 1, 5, 3, 7, 2]",0.200
"[5, 7, 2, 1, 3, 0, 4, 6]",0.200
"[5, 3, 1, 0, 2, 7, 6, 4]",0.200
"[1, 3, 2, 7, 6, 0, 5, 4]",0.200
"[1, 3, 0, 7, 2, 4, 5, 6]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[5, 3, 7, 0, 6, 4, 2, 1]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[0, 2, 6, 5, 7, 3, 1, 4]",0.200
"[0, 7, 4, 5, 3, 6, 1, 2]",0.200
"[0, 5, 3, 7, 4, 2, 1, 6]",0.250
"[1, 7, 3, 6, 2, 4, 5, 0]",0.250
"[4, 1, 5, 7, 2, 3, 0, 6]",0.250
"[2, 7, 3, 4, 6, 1, 5, 0]",0.250
"[6, 4, 3, 5, 0, 7, 1, 2]",0.250
"[6, 3, 5, 2, 7, 1, 4, 0]",0.250
"[4, 7, 1, 2, 5, 6, 3, 0]",0.250
"[3, 6, 5, 1, 2, 0, 7, 4]",0.250
"[7, 2, 3, 6, 1, 5, 0, 4]",0.250
"[2, 7, 3, 1, 4, 5, 0, 6]",0.333
"[1, 6, 3, 5, 0, 7, 4, 2]",0.333
"[1, 7, 2, 3, 6, 4, 5, 0]",0.333
"[1, 4, 7, 5, 6, 2, 0, 3]",0.333
"[6, 3, 5, 2, 7, 0, 4, 1]",0.333
"[6, 3, 1, 4, 7, 5, 2, 0]",0.500
"[7, 6, 5, 2, 4, 0, 1, 3]",0.111
"[6, 4, 3, 7, 5, 0, 1, 2]",0.111
"[3, 2, 5, 1, 7, 6, 4, 0]",0.111
"[7, 1, 0, 6, 4, 5, 3, 2]",0.125
"[2, 1, 7, 6, 5, 4, 0, 3]",0.125
"[2, 1, 6, 7, 0, 3, 4, 5]",0.125
"[5, 7, 4, 6, 2, 1, 0, 3]",0.125
"[2, 0, 1, 4, 5, 3, 7, 6]",0.125
"[4, 3, 7, 6, 0, 1, 5, 2]",0.125
"[2, 3, 0, 1, 5, 6, 4, 7]",0.125
"[2, 4, 1, 0, 6, 7, 3, 5]",0.143
"[4, 7, 2, 0, 1, 3, 6, 5]",0.143
"[0, 4, 2, 7, 3, 5, 1, 6]",0.143
"[6, 3, 0, 1, 2, 4, 5, 7]",0.143
"[4, 5, 3, 2, 7, 1, 0, 6]",0.143
"[1, 5, 4, 3, 0, 7, 2, 6]",0.167
"[2, 1, 7, 3, 0, 6, 5, 4]",0.167
"[6, 3, 5, 2, 7, 0, 1, 4]",0.167
"[3, 0, 1, 6, 4, 5, 7, 2]",0.167
"[5, 3, 4, 6, 2, 7, 1, 0]",0.167
"[2, 1, 4, 6, 5, 3, 0, 7]",0.167
"[0, 6, 3, 2, 4, 1, 5, 7]",0.167
"[4, 2, 0, 7, 5, 6, 1, 3]",0.167
"[7, 3, 4, 1, 0, 5, 2, 6]",0.167
"[2, 5, 1, 0, 6, 4, 7, 3]",0.200
"[6, 0, 4, 1, 5, 3, 7, 2]",0.200
"[5, 7, 2, 1, 3, 0, 4, 6]",0.200
"[5, 3, 1, 0, 2, 7, 6, 4]",0.200
"[1, 3, 2, 7, 6, 0, 5, 4]",0.200
"[1, 3, 0, 7, 2, 4, 5, 6]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[5, 3, 7, 0, 6, 4, 2, 1]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[0, 2, 6, 5, 7, 3, 1, 4]",0.200
"[0, 7, 4, 5, 3, 6, 1, 2]",0.200
"[0, 5, 3, 7, 4, 2, 1, 6]",0.250
"[1, 7, 3, 6, 2, 4, 5, 0]",0.250
"[4, 1, 5, 7, 2, 3, 0, 6]",0.250
"[2, 7, 3, 4, 6, 1, 5, 0]",0.250
"[6, 4, 3, 5, 0, 7, 1, 2]",0.250
"[6, 3, 5, 2, 7, 1, 4, 0]",0.250
"[4, 7, 1, 2, 5, 6, 3, 0]",0.250
"[3, 6, 5, 1, 2, 0, 7, 4]",0.250
"[7, 2, 3, 6, 1, 5, 0, 4]",0.250
"[2, 7, 3, 1, 4, 5, 0, 6]",0.333
"[1, 6, 3, 5, 0, 7, 4, 2]",0.333
"[1, 7, 2, 3, 6, 4, 5, 0]",0.333
"[1, 4, 7, 5, 6, 2, 0, 3]",0.333
"[6, 3, 5, 2, 7, 0, 4, 1]",0.333
"[6, 3, 1, 4, 7, 5, 2, 0]",0.500
"[7, 6, 5, 2, 4, 0, 1, 3]",0.111
"[6, 4, 3, 7, 5, 0, 1, 2]",0.111
"[3, 2, 5, 1, 7, 6, 4, 0]",0.111
"[7, 1, 0, 6, 4, 5, 3, 2]",0.125
"[2, 1, 7, 6, 5, 4, 0, 3]",0.125
"[2, 1, 6, 7, 0, 3, 4, 5]",0.125
"[5, 7, 4, 6, 2, 1, 0, 3]",0.125
"[2, 0, 1, 4, 5, 3, 7, 6]",0.125
"[4, 3, 7, 6, 0, 1, 5, 2]",0.125
"[2, 3, 0, 1, 5, 6, 4, 7]",0.125
"[2, 4, 1, 0, 6, 7, 3, 5]",0.143
"[4, 7, 2, 0, 1, 3, 6, 5]",0.143
"[0, 4, 2, 7, 3, 5, 1, 6]",0.143
"[6, 3, 0, 1, 2, 4, 5, 7]",0.143
"[4, 5, 3, 2, 7, 1, 0, 6]",0.143
"[1, 5, 4, 3, 0, 7, 2, 6]",0.167
"[2, 1, 7, 3, 0, 6, 5, 4]",0.167
"[6, 3, 5, 2, 7, 0, 1, 4]",0.167
"[3, 0, 1, 6, 4, 5, 7, 2]",0.167
"[5, 3, 4, 6, 2, 7, 1, 0]",0.167
"[2, 1, 4, 6, 5, 3, 0, 7]",0.167
"[0, 6, 3, 2, 4, 1, 5, 7]",0.167
"[4, 2, 0, 7, 5, 6, 1, 3]",0.167
"[7, 3, 4, 1, 0, 5, 2, 6]",0.167
"[2, 5, 1, 0, 6, 4, 7, 3]",0.200
"[6, 0, 4, 1, 5, 3, 7, 2]",0.200
"[5, 7, 2, 1, 3, 0, 4, 6]",0.200
"[5, 3, 1, 0, 2, 7, 6, 4]",0.200
"[1, 3, 2, 7, 6, 0, 5, 4]",0.200
"[1, 3, 0, 7, 2, 4, 5, 6]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[5, 3, 7, 0, 6, 4, 2, 1]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[0, 2, 6, 5, 7, 3, 1, 4]",0.200
"[0, 7, 4, 5, 3, 6, 1, 2]",0.200
"[0, 5, 3, 7, 4, 2, 1, 6]",0.250
"[1, 7, 3, 6, 2, 4, 5, 0]",0.250
"[4, 1, 5, 7, 2, 3, 0, 6]",0.250
"[2, 7, 3, 4, 6, 1, 5, 0]",0.250
"[6, 4, 3, 5, 0, 7, 1, 2]",0.250
"[6, 3, 5, 2, 7, 1, 4, 0]",0.250
"[4, 7, 1, 2, 5, 6, 3, 0]",0.250
"[3, 6, 5, 1, 2, 0, 7, 4]",0.250
"[7, 2, 3, 6, 1, 5, 0, 4]",0.250
"[2, 7, 3, 1, 4, 5, 0, 6]",0.333
"[1, 6, 3, 5, 0, 7, 4, 2]",0.333
"[1, 7, 2, 3, 6, 4, 5, 0]",0.333
"[1, 4, 7, 5, 6, 2, 0, 3]",0.333
"[6, 3, 5, 2, 7, 0, 4, 1]",0.333
"[6, 3, 1, 4, 7, 5, 2, 0]",0.500
"[7, 6, 5, 2, 4, 0, 1, 3]",0.111
"[6, 4, 3, 7, 5, 0, 1, 2]",0.111
"[3, 2, 5, 1, 7, 6, 4, 0]",0.111
"[7, 1, 0, 6, 4, 5, 3, 2]",0.125
"[2, 1, 7, 6, 5, 4, 0, 3]",0.125
"[2, 1, 6, 7, 0, 3, 4, 5]",0.125
"[5, 7, 4, 6, 2, 1, 0, 3]",0.125
"[2, 0, 1, 4, 5, 3, 7, 6]",0.125
"[4, 3, 7, 6, 0, 1, 5, 2]",0.125
"[2, 3, 0, 1, 5, 6, 4, 7]",0.125
"[2, 4, 1, 0, 6, 7, 3, 5]",0.143
"[4, 7, 2, 0, 1, 3, 6, 5]",0.143
"[0, 4, 2, 7, 3, 5, 1, 6]",0.143
"[6, 3, 0, 1, 2, 4, 5, 7]",0.143
"[4, 5, 3, 2, 7, 1, 0, 6]",0.143
"[1, 5, 4, 3, 0, 7, 2, 6]",0.167
"[2, 1, 7, 3, 0, 6, 5, 4]",0.167
"[6, 3, 5, 2, 7, 0, 1, 4]",0.167
"[3, 0, 1, 6, 4, 5, 7, 2]",0.167
"[5, 3, 4, 6, 2, 7, 1, 0]",0.167
"[2, 1, 4, 6, 5, 3, 0, 7]",0.167
"[0, 6, 3, 2, 4, 1, 5, 7]",0.167
"[4, 2, 0, 7, 5, 6, 1, 3]",0.167
"[7, 3, 4, 1, 0, 5, 2, 6]",0.167
"[2, 5, 1, 0, 6, 4, 7, 3]",0.200
"[6, 0, 4, 1, 5, 3, 7, 2]",0.200
"[5, 7, 2, 1, 3, 0, 4, 6]",0.200
"[5, 3, 1, 0, 2, 7, 6, 4]",0.200
"[1, 3, 2, 7, 6, 0, 5, 4]",0.200
"[1, 3, 0, 7, 2, 4, 5, 6]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[5, 3, 7, 0, 6, 4, 2, 1]",0.200
"[7, 3, 2, 5, 1, 4, 6, 0]",0.200
"[0, 2, 6, 5, 7, 3, 1, 4]",0.200
"[0, 7, 4, 5, 3, 6, 1, 2]",0.200
"[0, 5, 3, 7, 4, 2, 1, 6]",0.250
"[1, 7, 3, 6, 2, 4, 5, 0]",0.250
"[4, 1, 5, 7, 2, 3, 0, 6]",0.250
"[2, 7, 3, 4, 6, 1, 5, 0]",0.250
"[6, 4, 3, 5, 0, 7, 1, 2]",0.250
"[6, 3, 5, 2, 7, 1, 4, 0]",0.250
"[4, 7, 1, 2, 5, 6, 3, 0]",0.250
"[3, 6, 5, 1, 2, 0, 7, 4]",0.250
"[7, 2, 3, 6, 1, 5, 0, 4]",0.250
"[2, 7, 3, 1, 4, 5, 0, 6]",0.333
"[1, 6, 3, 5, 0, 7, 4, 2]",0.333
"[1, 7, 2, 3, 6, 4, 5, 0]",0.333
"[1, 4, 7, 5, 6, 2, 0, 3]",0.333
"[6, 3, 5, 2, 7, 0, 4, 1]",0.333
"[6, 3, 1, 4, 7, 5, 2, 0]",0.500
"[7, 6, 5, 2, 4, 0, 1, 3]",0.111
"[6, 4, 3, 7, 5, 0, 1, 2]",0.111
"[3, 2, 5, 1, 7, 6, 4, 0]",0.111
"[7, 1, 0, 6, 4, 5, 3, 2]",0.125
"[2, 1, 7, 6, 5, 4, 0, 3]",0.125
"[2, 1, 6, 7, 0, 3, 4, 5]",0.125
"[5, 7, 4, 6, 2, 1, 0, 3]",0.125
"[2, 0, 1, 4, 5, 3, 7, 6]",0.125
"[4, 3, 7, 6, 0, 1, 5, 2]",0.125
"[2, 3, 0, 1, 5, 6, 4, 7]",0.125
"[2, 4, 1, 0, 6, 7, 3, 5]",0.143
"[4, 7, 2, 0, 1, 3, 6, 5]",0.143
"[0, 4, 2, 7, 3, 5, 1, 6]",0.143
"[6, 3, 0, 1, 2, 4, 5, 7]",0.143
"[4, 5, 3, 2, 7, 1, 0, 6]",0.143
"[1, 5, 4, 3, 0, 7, 2, 6]",0.167
