config,fitness
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[5, 0, 2, 3, 6, 1, 7, 4]",0.333
"[4, 1, 7, 6, 3, 2, 0, 5]",0.333
"[2, 6, 1, 7, 5, 3, 0, 4]",1.000
"[1, 0, 6, 2, 7, 4, 5, 3]",0.111
"[7, 6, 2, 3, 5, 4, 1, 0]",0.111
"[1, 0, 7, 2, 3, 5, 4, 6]",0.111
"[6, 2, 7, 3, 5, 1, 0, 4]",0.111
"[3, 2, 4, 7, 6, 5, 0, 1]",0.125
"[6, 7, 4, 2, 3, 5, 0, 1]",0.125
"[6, 4, 2, 0, 1, 5, 3, 7]",0.125
"[6, 5, 2, 3, 4, 7, 1, 0]",0.125
"[5, 4, 0, 3, 1, 2, 6, 7]",0.125
"[5, 1, 3, 2, 7, 6, 0, 4]",0.125
"[1, 2, 6, 5, 0, 3, 7, 4]",0.143
"[6, 7, 3, 2, 0, 1, 5, 4]",0.143
"[6, 4, 5, 2, 0, 1, 7, 3]",0.143
"[2, 4, 1, 5, 3, 0, 7, 6]",0.143
"[0, 4, 5, 2, 1, 7, 6, 3]",0.143
"[3, 2, 5, 6, 4, 1, 7, 0]",0.143
"[3, 1, 5, 6, 2, 0, 4, 7]",0.167
"[0, 5, 2, 7, 3, 1, 6, 4]",0.167
"[5, 0, 7, 1, 2, 6, 4, 3]",0.167
"[6, 0, 1, 4, 7, 2, 5, 3]",0.167
"[1, 4, 5, 6, 2, 0, 3, 7]",0.167
"[0, 7, 2, 6, 4, 1, 3, 5]",0.167
"[2, 3, 0, 6, 1, 5, 4, 7]",0.167
"[2, 6, 1, 5, 3, 7, 0, 4]",0.167
"[7, 2, 3, 6, 5, 1, 0, 4]",0.167
"[5, 2, 3, 7, 4, 0, 1, 6]",0.167
"[1, 0, 5, 7, 2, 4, 3, 6]",0.167
"[7, 6, 5, 2, 1, 4, 0, 3]",0.167
"[1, 2, 5, 0, 6, 3, 7, 4]",0.167
"[6, 2, 7, 1, 5, 3, 0, 4]",0.200
"[6, 3, 7, 4, 2, 5, 1, 0]",0.200
"[7, 2, 6, 3, 5, 1, 0, 4]",0.200
"[6, 4, 0, 5, 2, 7, 3, 1]",0.200
"[4, 0, 7, 2, 6, 3, 5, 1]",0.200
"[0, 2, 5, 6, 3, 7, 1, 4]",0.200
"[5, 2, 3, 0, 7, 4, 1, 6]",0.200
"[4, 7, 0, 1, 2, 5, 3, 6]",0.200
"[6, 3, 1, 2, 4, 7, 5, 0]",0.200
"[4, 1, 5, 7, 0, 3, 2, 6]",0.200
"[2, 5, 6, 4, 0, 7, 1, 3]",0.200
"[0, 4, 5, 2, 6, 1, 3, 7]",0.250
"[5, 4, 6, 3, 0, 1, 7, 2]",0.250
"[2, 0, 7, 3, 6, 4, 1, 5]",0.250
"[1, 7, 4, 0, 2, 5, 6, 3]",0.250
"[3, 4, 1, 5, 0, 6, 7, 2]",0.250
"[7, 5, 1, 6, 0, 2, 4, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[5, 0, 2, 3, 6, 1, 7, 4]",0.333
"[4, 1, 7, 6, 3, 2, 0, 5]",0.333
"[2, 6, 1, 7, 5, 3, 0, 4]",1.000
"[1, 0, 6, 2, 7, 4, 5, 3]",0.111
"[7, 6, 2, 3, 5, 4, 1, 0]",0.111
"[1, 0, 7, 2, 3, 5, 4, 6]",0.111
"[6, 2, 7, 3, 5, 1, 0, 4]",0.111
"[3, 2, 4, 7, 6, 5, 0, 1]",0.125
"[6, 7, 4, 2, 3, 5, 0, 1]",0.125
"[6, 4, 2, 0, 1, 5, 3, 7]",0.125
"[6, 5, 2, 3, 4, 7, 1, 0]",0.125
"[5, 4, 0, 3, 1, 2, 6, 7]",0.125
"[5, 1, 3, 2, 7, 6, 0, 4]",0.125
"[1, 2, 6, 5, 0, 3, 7, 4]",0.143
"[6, 7, 3, 2, 0, 1, 5, 4]",0.143
"[6, 4, 5, 2, 0, 1, 7, 3]",0.143
"[2, 4, 1, 5, 3, 0, 7, 6]",0.143
"[0, 4, 5, 2, 1, 7, 6, 3]",0.143
"[3, 2, 5, 6, 4, 1, 7, 0]",0.143
"[3, 1, 5, 6, 2, 0, 4, 7]",0.167
"[0, 5, 2, 7, 3, 1, 6, 4]",0.167
"[5, 0, 7, 1, 2, 6, 4, 3]",0.167
"[6, 0, 1, 4, 7, 2, 5, 3]",0.167
"[1, 4, 5, 6, 2, 0, 3, 7]",0.167
"[0, 7, 2, 6, 4, 1, 3, 5]",0.167
"[2, 3, 0, 6, 1, 5, 4, 7]",0.167
"[2, 6, 1, 5, 3, 7, 0, 4]",0.167
"[7, 2, 3, 6, 5, 1, 0, 4]",0.167
"[5, 2, 3, 7, 4, 0, 1, 6]",0.167
"[1, 0, 5, 7, 2, 4, 3, 6]",0.167
"[7, 6, 5, 2, 1, 4, 0, 3]",0.167
"[1, 2, 5, 0, 6, 3, 7, 4]",0.167
"[6, 2, 7, 1, 5, 3, 0, 4]",0.200
"[6, 3, 7, 4, 2, 5, 1, 0]",0.200
"[7, 2, 6, 3, 5, 1, 0, 4]",0.200
"[6, 4, 0, 5, 2, 7, 3, 1]",0.200
"[4, 0, 7, 2, 6, 3, 5, 1]",0.200
"[0, 2, 5, 6, 3, 7, 1, 4]",0.200
"[5, 2, 3, 0, 7, 4, 1, 6]",0.200
"[4, 7, 0, 1, 2, 5, 3, 6]",0.200
"[6, 3, 1, 2, 4, 7, 5, 0]",0.200
"[4, 1, 5, 7, 0, 3, 2, 6]",0.200
"[2, 5, 6, 4, 0, 7, 1, 3]",0.200
"[0, 4, 5, 2, 6, 1, 3, 7]",0.250
"[5, 4, 6, 3, 0, 1, 7, 2]",0.250
"[2, 0, 7, 3, 6, 4, 1, 5]",0.250
"[1, 7, 4, 0, 2, 5, 6, 3]",0.250
"[3, 4, 1, 5, 0, 6, 7, 2]",0.250
"[7, 5, 1, 6, 0, 2, 4, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[5, 0, 2, 3, 6, 1, 7, 4]",0.333
"[4, 1, 7, 6, 3, 2, 0, 5]",0.333
"[2, 6, 1, 7, 5, 3, 0, 4]",1.000
"[1, 0, 7, 2, 3, 5, 4, 6]",0.111
"[6, 2, 7, 3, 5, 1, 0, 4]",0.111
"[3, 2, 4, 7, 6, 5, 0, 1]",0.125
"[6, 7, 4, 2, 3, 5, 0, 1]",0.125
"[6, 4, 2, 0, 1, 5, 3, 7]",0.125
"[6, 5, 2, 3, 4, 7, 1, 0]",0.125
"[5, 4, 0, 3, 1, 2, 6, 7]",0.125
"[5, 1, 3, 2, 7, 6, 0, 4]",0.125
"[1, 2, 6, 5, 0, 3, 7, 4]",0.143
"[6, 7, 3, 2, 0, 1, 5, 4]",0.143
"[6, 4, 5, 2, 0, 1, 7, 3]",0.143
"[2, 4, 1, 5, 3, 0, 7, 6]",0.143
"[0, 4, 5, 2, 1, 7, 6, 3]",0.143
"[3, 2, 5, 6, 4, 1, 7, 0]",0.143
"[3, 1, 5, 6, 2, 0, 4, 7]",0.167
"[0, 5, 2, 7, 3, 1, 6, 4]",0.167
"[5, 0, 7, 1, 2, 6, 4, 3]",0.167
"[6, 0, 1, 4, 7, 2, 5, 3]",0.167
"[1, 4, 5, 6, 2, 0, 3, 7]",0.167
"[0, 7, 2, 6, 4, 1, 3, 5]",0.167
"[2, 3, 0, 6, 1, 5, 4, 7]",0.167
"[2, 6, 1, 5, 3, 7, 0, 4]",0.167
"[7, 2, 3, 6, 5, 1, 0, 4]",0.167
"[5, 2, 3, 7, 4, 0, 1, 6]",0.167
"[1, 0, 5, 7, 2, 4, 3, 6]",0.167
"[7, 6, 5, 2, 1, 4, 0, 3]",0.167
"[1, 2, 5, 0, 6, 3, 7, 4]",0.167
"[6, 2, 7, 1, 5, 3, 0, 4]",0.200
"[6, 3, 7, 4, 2, 5, 1, 0]",0.200
"[7, 2, 6, 3, 5, 1, 0, 4]",0.200
"[6, 4, 0, 5, 2, 7, 3, 1]",0.200
"[4, 0, 7, 2, 6, 3, 5, 1]",0.200
"[0, 2, 5, 6, 3, 7, 1, 4]",0.200
"[5, 2, 3, 0, 7, 4, 1, 6]",0.200
"[4, 7, 0, 1, 2, 5, 3, 6]",0.200
"[6, 3, 1, 2, 4, 7, 5, 0]",0.200
"[4, 1, 5, 7, 0, 3, 2, 6]",0.200
"[2, 5, 6, 4, 0, 7, 1, 3]",0.200
"[0, 4, 5, 2, 6, 1, 3, 7]",0.250
"[5, 4, 6, 3, 0, 1, 7, 2]",0.250
"[2, 0, 7, 3, 6, 4, 1, 5]",0.250
"[1, 7, 4, 0, 2, 5, 6, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[3, 4, 1, 5, 0, 6, 7, 2]",0.250
"[7, 5, 1, 6, 0, 2, 4, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[5, 0, 2, 3, 6, 1, 7, 4]",0.333
"[4, 1, 7, 6, 3, 2, 0, 5]",0.333
"[4, 1, 7, 6, 3, 0, 2, 5]",0.500
"[2, 6, 1, 7, 5, 3, 0, 4]",1.000
"[1, 0, 7, 2, 3, 5, 4, 6]",0.111
"[6, 2, 7, 3, 5, 1, 0, 4]",0.111
"[3, 2, 4, 7, 6, 5, 0, 1]",0.125
"[6, 7, 4, 2, 3, 5, 0, 1]",0.125
"[6, 4, 2, 0, 1, 5, 3, 7]",0.125
"[6, 5, 2, 3, 4, 7, 1, 0]",0.125
"[5, 4, 0, 3, 1, 2, 6, 7]",0.125
"[5, 1, 3, 2, 7, 6, 0, 4]",0.125
"[1, 2, 6, 5, 0, 3, 7, 4]",0.143
"[6, 7, 3, 2, 0, 1, 5, 4]",0.143
"[6, 4, 5, 2, 0, 1, 7, 3]",0.143
"[2, 4, 1, 5, 3, 0, 7, 6]",0.143
"[0, 4, 5, 2, 1, 7, 6, 3]",0.143
"[3, 2, 5, 6, 4, 1, 7, 0]",0.143
"[3, 1, 5, 6, 2, 0, 4, 7]",0.167
"[0, 5, 2, 7, 3, 1, 6, 4]",0.167
"[5, 0, 7, 1, 2, 6, 4, 3]",0.167
"[6, 0, 1, 4, 7, 2, 5, 3]",0.167
"[1, 4, 5, 6, 2, 0, 3, 7]",0.167
"[0, 7, 2, 6, 4, 1, 3, 5]",0.167
"[2, 3, 0, 6, 1, 5, 4, 7]",0.167
"[2, 6, 1, 5, 3, 7, 0, 4]",0.167
"[7, 2, 3, 6, 5, 1, 0, 4]",0.167
"[5, 2, 3, 7, 4, 0, 1, 6]",0.167
"[1, 0, 5, 7, 2, 4, 3, 6]",0.167
"[7, 6, 5, 2, 1, 4, 0, 3]",0.167
"[1, 2, 5, 0, 6, 3, 7, 4]",0.167
"[6, 2, 7, 1, 5, 3, 0, 4]",0.200
"[6, 3, 7, 4, 2, 5, 1, 0]",0.200
"[7, 2, 6, 3, 5, 1, 0, 4]",0.200
"[6, 4, 0, 5, 2, 7, 3, 1]",0.200
"[4, 0, 7, 2, 6, 3, 5, 1]",0.200
"[0, 2, 5, 6, 3, 7, 1, 4]",0.200
"[5, 2, 3, 0, 7, 4, 1, 6]",0.200
"[4, 7, 0, 1, 2, 5, 3, 6]",0.200
"[6, 3, 1, 2, 4, 7, 5, 0]",0.200
"[4, 1, 5, 7, 0, 3, 2, 6]",0.200
"[2, 5, 6, 4, 0, 7, 1, 3]",0.200
"[0, 4, 5, 2, 6, 1, 3, 7]",0.250
"[5, 4, 6, 3, 0, 1, 7, 2]",0.250
"[2, 0, 7, 3, 6, 4, 1, 5]",0.250
"[1, 7, 4, 0, 2, 5, 6, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[3, 4, 1, 5, 0, 6, 7, 2]",0.250
"[7, 5, 1, 6, 0, 2, 4, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[5, 0, 2, 3, 6, 1, 7, 4]",0.333
"[4, 1, 7, 6, 3, 2, 0, 5]",0.333
"[4, 1, 7, 6, 3, 0, 2, 5]",0.500
"[2, 6, 1, 7, 5, 3, 0, 4]",1.000
"[1, 0, 7, 2, 3, 5, 4, 6]",0.111
"[6, 2, 7, 3, 5, 1, 0, 4]",0.111
"[3, 2, 4, 7, 6, 5, 0, 1]",0.125
"[6, 7, 4, 2, 3, 5, 0, 1]",0.125
"[6, 4, 2, 0, 1, 5, 3, 7]",0.125
"[6, 5, 2, 3, 4, 7, 1, 0]",0.125
"[5, 4, 0, 3, 1, 2, 6, 7]",0.125
"[5, 1, 3, 2, 7, 6, 0, 4]",0.125
"[1, 2, 6, 5, 0, 3, 7, 4]",0.143
"[6, 7, 3, 2, 0, 1, 5, 4]",0.143
"[6, 4, 5, 2, 0, 1, 7, 3]",0.143
"[2, 4, 1, 5, 3, 0, 7, 6]",0.143
"[0, 4, 5, 2, 1, 7, 6, 3]",0.143
"[3, 2, 5, 6, 4, 1, 7, 0]",0.143
"[3, 1, 5, 6, 2, 0, 4, 7]",0.167
"[0, 5, 2, 7, 3, 1, 6, 4]",0.167
"[5, 0, 7, 1, 2, 6, 4, 3]",0.167
"[6, 0, 1, 4, 7, 2, 5, 3]",0.167
"[1, 4, 5, 6, 2, 0, 3, 7]",0.167
"[0, 7, 2, 6, 4, 1, 3, 5]",0.167
"[2, 3, 0, 6, 1, 5, 4, 7]",0.167
"[2, 6, 1, 5, 3, 7, 0, 4]",0.167
"[7, 2, 3, 6, 5, 1, 0, 4]",0.167
"[5, 2, 3, 7, 4, 0, 1, 6]",0.167
"[1, 0, 5, 7, 2, 4, 3, 6]",0.167
"[7, 6, 5, 2, 1, 4, 0, 3]",0.167
"[1, 2, 5, 0, 6, 3, 7, 4]",0.167
"[6, 2, 7, 1, 5, 3, 0, 4]",0.200
"[6, 3, 7, 4, 2, 5, 1, 0]",0.200
"[7, 2, 6, 3, 5, 1, 0, 4]",0.200
"[6, 4, 0, 5, 2, 7, 3, 1]",0.200
"[4, 0, 7, 2, 6, 3, 5, 1]",0.200
"[0, 2, 5, 6, 3, 7, 1, 4]",0.200
"[5, 2, 3, 0, 7, 4, 1, 6]",0.200
"[4, 7, 0, 1, 2, 5, 3, 6]",0.200
"[6, 3, 1, 2, 4, 7, 5, 0]",0.200
"[4, 1, 5, 7, 0, 3, 2, 6]",0.200
"[2, 5, 6, 4, 0, 7, 1, 3]",0.200
"[0, 4, 5, 2, 6, 1, 3, 7]",0.250
"[5, 4, 6, 3, 0, 1, 7, 2]",0.250
"[2, 0, 7, 3, 6, 4, 1, 5]",0.250
"[1, 7, 4, 0, 2, 5, 6, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[3, 4, 1, 5, 0, 6, 7, 2]",0.250
"[7, 5, 1, 6, 0, 2, 4, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[5, 0, 2, 3, 6, 1, 7, 4]",0.333
"[4, 1, 7, 6, 3, 2, 0, 5]",0.333
"[4, 1, 7, 6, 3, 0, 2, 5]",0.500
"[2, 6, 1, 7, 5, 3, 0, 4]",1.000
"[1, 0, 7, 2, 3, 5, 4, 6]",0.111
"[6, 2, 7, 3, 5, 1, 0, 4]",0.111
"[3, 2, 4, 7, 6, 5, 0, 1]",0.125
"[6, 7, 4, 2, 3, 5, 0, 1]",0.125
"[6, 4, 2, 0, 1, 5, 3, 7]",0.125
"[6, 5, 2, 3, 4, 7, 1, 0]",0.125
"[5, 4, 0, 3, 1, 2, 6, 7]",0.125
"[5, 1, 3, 2, 7, 6, 0, 4]",0.125
"[1, 2, 6, 5, 0, 3, 7, 4]",0.143
"[6, 7, 3, 2, 0, 1, 5, 4]",0.143
"[6, 4, 5, 2, 0, 1, 7, 3]",0.143
"[2, 4, 1, 5, 3, 0, 7, 6]",0.143
"[0, 4, 5, 2, 1, 7, 6, 3]",0.143
"[3, 2, 5, 6, 4, 1, 7, 0]",0.143
"[3, 1, 5, 6, 2, 0, 4, 7]",0.167
"[0, 5, 2, 7, 3, 1, 6, 4]",0.167
"[5, 0, 7, 1, 2, 6, 4, 3]",0.167
"[6, 0, 1, 4, 7, 2, 5, 3]",0.167
"[1, 4, 5, 6, 2, 0, 3, 7]",0.167
"[0, 7, 2, 6, 4, 1, 3, 5]",0.167
"[2, 3, 0, 6, 1, 5, 4, 7]",0.167
"[2, 6, 1, 5, 3, 7, 0, 4]",0.167
"[7, 2, 3, 6, 5, 1, 0, 4]",0.167
"[5, 2, 3, 7, 4, 0, 1, 6]",0.167
"[1, 0, 5, 7, 2, 4, 3, 6]",0.167
"[7, 6, 5, 2, 1, 4, 0, 3]",0.167
"[1, 2, 5, 0, 6, 3, 7, 4]",0.167
"[6, 2, 7, 1, 5, 3, 0, 4]",0.200
"[6, 3, 7, 4, 2, 5, 1, 0]",0.200
"[7, 2, 6, 3, 5, 1, 0, 4]",0.200
"[6, 4, 0, 5, 2, 7, 3, 1]",0.200
"[4, 0, 7, 2, 6, 3, 5, 1]",0.200
"[0, 2, 5, 6, 3, 7, 1, 4]",0.200
"[5, 2, 3, 0, 7, 4, 1, 6]",0.200
"[4, 7, 0, 1, 2, 5, 3, 6]",0.200
"[6, 3, 1, 2, 4, 7, 5, 0]",0.200
"[4, 1, 5, 7, 0, 3, 2, 6]",0.200
"[2, 5, 6, 4, 0, 7, 1, 3]",0.200
"[0, 4, 5, 2, 6, 1, 3, 7]",0.250
"[5, 4, 6, 3, 0, 1, 7, 2]",0.250
"[2, 0, 7, 3, 6, 4, 1, 5]",0.250
"[1, 7, 4, 0, 2, 5, 6, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[3, 4, 1, 5, 0, 6, 7, 2]",0.250
"[7, 5, 1, 6, 0, 2, 4, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[5, 0, 2, 3, 6, 1, 7, 4]",0.333
"[4, 1, 7, 6, 3, 2, 0, 5]",0.333
"[4, 1, 7, 6, 3, 0, 2, 5]",0.500
"[2, 6, 1, 7, 5, 3, 0, 4]",1.000
"[3, 2, 4, 7, 6, 5, 0, 1]",0.125
"[6, 7, 4, 2, 3, 5, 0, 1]",0.125
"[6, 4, 2, 0, 1, 5, 3, 7]",0.125
"[6, 5, 2, 3, 4, 7, 1, 0]",0.125
"[1, 0, 7, 5, 2, 4, 3, 6]",0.125
"[5, 4, 0, 3, 1, 2, 6, 7]",0.125
"[5, 1, 3, 2, 7, 6, 0, 4]",0.125
"[1, 2, 6, 5, 0, 3, 7, 4]",0.143
"[6, 7, 3, 2, 0, 1, 5, 4]",0.143
"[6, 4, 5, 2, 0, 1, 7, 3]",0.143
"[2, 4, 1, 5, 3, 0, 7, 6]",0.143
"[0, 4, 5, 2, 1, 7, 6, 3]",0.143
"[3, 2, 5, 6, 4, 1, 7, 0]",0.143
"[3, 1, 5, 6, 2, 0, 4, 7]",0.167
"[0, 5, 2, 7, 3, 1, 6, 4]",0.167
"[5, 0, 7, 1, 2, 6, 4, 3]",0.167
"[6, 0, 1, 4, 7, 2, 5, 3]",0.167
"[1, 4, 5, 6, 2, 0, 3, 7]",0.167
"[0, 7, 2, 6, 4, 1, 3, 5]",0.167
"[2, 3, 0, 6, 1, 5, 4, 7]",0.167
"[2, 6, 1, 5, 3, 7, 0, 4]",0.167
"[7, 2, 3, 6, 5, 1, 0, 4]",0.167
"[5, 2, 3, 7, 4, 0, 1, 6]",0.167
"[1, 0, 5, 7, 2, 4, 3, 6]",0.167
"[7, 6, 5, 2, 1, 4, 0, 3]",0.167
"[1, 2, 5, 0, 6, 3, 7, 4]",0.167
"[6, 2, 7, 1, 5, 3, 0, 4]",0.200
"[6, 3, 7, 4, 2, 5, 1, 0]",0.200
"[7, 2, 6, 3, 5, 1, 0, 4]",0.200
"[6, 4, 0, 5, 2, 7, 3, 1]",0.200
"[4, 0, 7, 2, 6, 3, 5, 1]",0.200
"[0, 2, 5, 6, 3, 7, 1, 4]",0.200
"[5, 2, 3, 0, 7, 4, 1, 6]",0.200
"[4, 7, 0, 1, 2, 5, 3, 6]",0.200
"[6, 3, 1, 2, 4, 7, 5, 0]",0.200
"[4, 1, 5, 7, 0, 3, 2, 6]",0.200
"[2, 5, 6, 4, 0, 7, 1, 3]",0.200
"[0, 4, 5, 2, 6, 1, 3, 7]",0.250
"[5, 4, 6, 3, 0, 1, 7, 2]",0.250
"[2, 0, 7, 3, 6, 4, 1, 5]",0.250
"[1, 7, 4, 0, 2, 5, 6, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[3, 4, 1, 5, 0, 6, 7, 2]",0.250
"[6, 0, 1, 4, 7, 5, 2, 3]",0.250
"[7, 5, 1, 6, 0, 2, 4, 3]",0.250
"[4, 0, 7, 3, 1, 6, 5, 2]",0.250
"[5, 0, 2, 3, 6, 1, 7, 4]",0.333
"[4, 1, 7, 6, 3, 2, 0, 5]",0.333
"[4, 1, 7, 6, 3, 0, 2, 5]",0.500
"[2, 6, 1, 7, 5, 3, 0, 4]",1.000
"[3, 2, 4, 7, 6, 5, 0, 1]",0.125
"[6, 7, 4, 2, 3, 5, 0, 1]",0.125
"[6, 4, 2, 0, 1, 5, 3, 7]",0.125
"[6, 5, 2, 3, 4, 7, 1, 0]",0.125
"[1, 0, 7, 5, 2, 4, 3, 6]",0.125
"[5, 4, 0, 3, 1, 2, 6, 7]",0.125
"[5, 1, 3, 2, 7, 6, 0, 4]",0.125
"[1, 2, 6, 5, 0, 3, 7, 4]",0.143
"[6, 7, 3, 2, 0, 1, 5, 4]",0.143
"[6, 4, 5, 2, 0, 1, 7, 3]",0.143
"[2, 4, 1, 5, 3, 0, 7, 6]",0.143
"[0, 4, 5, 2, 1, 7, 6, 3]",0.143
"[3, 2, 5, 6, 4, 1, 7, 0]",0.143
"[3, 1, 5, 6, 2, 0, 4, 7]",0.167
"[0, 5, 2, 7, 3, 1, 6, 4]",0.167
"[5, 0, 7, 1, 2, 6, 4, 3]",0.167
