config,fitness
"[0, 4, 3, 6, 2, 1, 5, 7]",0.200
"[5, 0, 3, 1, 2, 4, 6, 7]",0.200
"[6, 4, 2, 5, 0, 1, 3, 7]",0.200
"[5, 2, 1, 6, 7, 0, 4, 3]",0.200
"[1, 6, 2, 5, 0, 7, 4, 3]",0.200
"[0, 1, 7, 2, 5, 6, 4, 3]",0.200
"[0, 6, 5, 3, 2, 7, 4, 1]",0.200
"[0, 6, 1, 4, 2, 3, 5, 7]",0.200
"[0, 5, 1, 6, 4, 3, 7, 2]",0.250
"[3, 7, 5, 2, 0, 1, 4, 6]",0.250
"[5, 0, 3, 1, 6, 2, 4, 7]",0.250
"[0, 5, 6, 4, 2, 7, 1, 3]",0.250
"[6, 2, 1, 4, 0, 3, 5, 7]",0.250
"[5, 2, 0, 3, 7, 1, 6, 4]",0.250
"[5, 0, 3, 6, 2, 1, 4, 7]",0.250
"[3, 7, 5, 1, 4, 6, 0, 2]",0.333
"[4, 6, 0, 7, 1, 3, 5, 2]",0.333
"[6, 3, 0, 4, 7, 5, 2, 1]",0.500
"[3, 6, 0, 1, 5, 7, 2, 4]",0.500
"[7, 0, 5, 4, 1, 2, 3, 6]",0.091
"[5, 4, 3, 2, 0, 1, 7, 6]",0.091
"[0, 7, 3, 5, 4, 2, 6, 1]",0.100
"[4, 3, 5, 6, 7, 0, 1, 2]",0.100
"[1, 3, 7, 4, 5, 6, 0, 2]",0.100
"[7, 6, 4, 3, 5, 0, 1, 2]",0.111
"[1, 6, 7, 4, 5, 2, 0, 3]",0.111
"[5, 4, 7, 1, 6, 0, 3, 2]",0.111
"[5, 6, 7, 3, 4, 1, 2, 0]",0.111
"[6, 7, 4, 5, 1, 3, 0, 2]",0.111
"[2, 1, 0, 4, 6, 7, 5, 3]",0.125
"[2, 0, 1, 6, 5, 4, 7, 3]",0.125
"[0, 2, 3, 4, 7, 5, 6, 1]",0.143
"[4, 3, 2, 0, 1, 5, 7, 6]",0.143
"[4, 7, 6, 2, 5, 0, 3, 1]",0.143
"[4, 0, 5, 2, 3, 6, 1, 7]",0.143
"[2, 0, 1, 6, 5, 7, 3, 4]",0.143
"[0, 7, 3, 2, 5, 4, 6, 1]",0.143
"[6, 7, 5, 4, 1, 0, 3, 2]",0.143
"[0, 2, 7, 4, 3, 5, 6, 1]",0.167
"[5, 4, 1, 3, 7, 0, 2, 6]",0.167
"[7, 4, 0, 3, 2, 6, 1, 5]",0.167
"[0, 6, 2, 4, 3, 7, 5, 1]",0.167
"[4, 2, 5, 0, 3, 6, 1, 7]",0.167
"[1, 6, 0, 5, 3, 2, 7, 4]",0.167
"[6, 4, 3, 5, 7, 2, 1, 0]",0.167
"[1, 7, 6, 4, 5, 2, 0, 3]",0.167
"[6, 5, 0, 1, 4, 3, 7, 2]",0.167
"[6, 7, 5, 4, 1, 3, 0, 2]",0.200
"[4, 2, 5, 3, 0, 6, 1, 7]",0.200
"[0, 4, 3, 6, 2, 1, 5, 7]",0.200
"[5, 0, 3, 1, 2, 4, 6, 7]",0.200
"[6, 4, 2, 5, 0, 1, 3, 7]",0.200
"[5, 2, 1, 6, 7, 0, 4, 3]",0.200
"[1, 6, 2, 5, 0, 7, 4, 3]",0.200
"[0, 1, 7, 2, 5, 6, 4, 3]",0.200
"[0, 6, 5, 3, 2, 7, 4, 1]",0.200
"[0, 6, 1, 4, 2, 3, 5, 7]",0.200
"[0, 5, 1, 6, 4, 3, 7, 2]",0.250
"[3, 7, 5, 2, 0, 1, 4, 6]",0.250
"[5, 0, 3, 1, 6, 2, 4, 7]",0.250
"[0, 5, 6, 4, 2, 7, 1, 3]",0.250
"[6, 2, 1, 4, 0, 3, 5, 7]",0.250
"[5, 2, 0, 3, 7, 1, 6, 4]",0.250
"[5, 0, 3, 6, 2, 1, 4, 7]",0.250
"[3, 7, 5, 1, 4, 6, 0, 2]",0.333
"[1, 7, 5, 0, 3, 6, 4, 2]",0.333
"[4, 6, 0, 7, 1, 3, 5, 2]",0.333
"[6, 3, 0, 4, 7, 5, 2, 1]",0.500
"[3, 6, 0, 1, 5, 7, 2, 4]",0.500
"[5, 4, 3, 2, 0, 1, 7, 6]",0.091
"[0, 7, 3, 5, 4, 2, 6, 1]",0.100
"[4, 3, 5, 6, 7, 0, 1, 2]",0.100
"[1, 3, 7, 4, 5, 6, 0, 2]",0.100
"[7, 6, 4, 3, 5, 0, 1, 2]",0.111
"[1, 6, 7, 4, 5, 2, 0, 3]",0.111
"[5, 4, 7, 1, 6, 0, 3, 2]",0.111
"[5, 6, 7, 3, 4, 1, 2, 0]",0.111
"[6, 7, 4, 5, 1, 3, 0, 2]",0.111
"[2, 1, 0, 4, 6, 7, 5, 3]",0.125
"[2, 0, 1, 6, 5, 4, 7, 3]",0.125
"[0, 2, 3, 4, 7, 5, 6, 1]",0.143
"[4, 3, 2, 0, 1, 5, 7, 6]",0.143
"[4, 7, 6, 2, 5, 0, 3, 1]",0.143
"[4, 0, 5, 2, 3, 6, 1, 7]",0.143
"[2, 0, 1, 6, 5, 7, 3, 4]",0.143
"[0, 7, 3, 2, 5, 4, 6, 1]",0.143
"[6, 7, 5, 4, 1, 0, 3, 2]",0.143
"[0, 2, 7, 4, 3, 5, 6, 1]",0.167
"[5, 4, 1, 3, 7, 0, 2, 6]",0.167
"[7, 4, 0, 3, 2, 6, 1, 5]",0.167
"[0, 6, 2, 4, 3, 7, 5, 1]",0.167
"[4, 2, 5, 0, 3, 6, 1, 7]",0.167
"[1, 6, 0, 5, 3, 2, 7, 4]",0.167
"[0, 4, 7, 2, 6, 5, 1, 3]",0.167
"[6, 4, 3, 5, 7, 2, 1, 0]",0.167
"[1, 7, 6, 4, 5, 2, 0, 3]",0.167
"[6, 5, 0, 1, 4, 3, 7, 2]",0.167
"[6, 7, 5, 4, 1, 3, 0, 2]",0.200
"[4, 2, 5, 3, 0, 6, 1, 7]",0.200
"[0, 4, 3, 6, 2, 1, 5, 7]",0.200
"[5, 0, 3, 1, 2, 4, 6, 7]",0.200
"[6, 4, 2, 5, 0, 1, 3, 7]",0.200
"[5, 2, 1, 6, 7, 0, 4, 3]",0.200
"[1, 6, 2, 5, 0, 7, 4, 3]",0.200
"[0, 1, 7, 2, 5, 6, 4, 3]",0.200
"[0, 6, 5, 3, 2, 7, 4, 1]",0.200
"[0, 6, 1, 4, 2, 3, 5, 7]",0.200
"[0, 5, 1, 6, 4, 3, 7, 2]",0.250
"[3, 7, 5, 2, 0, 1, 4, 6]",0.250
"[5, 0, 3, 1, 6, 2, 4, 7]",0.250
"[0, 5, 6, 4, 2, 7, 1, 3]",0.250
"[6, 2, 1, 4, 0, 3, 5, 7]",0.250
"[5, 2, 0, 3, 7, 1, 6, 4]",0.250
"[5, 0, 3, 6, 2, 1, 4, 7]",0.250
"[3, 7, 5, 1, 4, 6, 0, 2]",0.333
"[1, 7, 5, 0, 3, 6, 4, 2]",0.333
"[4, 6, 0, 7, 1, 3, 5, 2]",0.333
"[6, 3, 0, 4, 7, 5, 2, 1]",0.500
"[3, 6, 0, 1, 5, 7, 2, 4]",0.500
"[0, 7, 3, 5, 4, 2, 6, 1]",0.100
"[4, 3, 5, 6, 7, 0, 1, 2]",0.100
"[1, 3, 7, 4, 5, 6, 0, 2]",0.100
"[7, 6, 4, 3, 5, 0, 1, 2]",0.111
"[1, 6, 7, 4, 5, 2, 0, 3]",0.111
"[5, 4, 7, 1, 6, 0, 3, 2]",0.111
"[5, 6, 7, 3, 4, 1, 2, 0]",0.111
"[6, 7, 4, 5, 1, 3, 0, 2]",0.111
"[2, 1, 0, 4, 6, 7, 5, 3]",0.125
"[2, 0, 1, 6, 5, 4, 7, 3]",0.125
"[0, 2, 3, 4, 7, 5, 6, 1]",0.143
"[4, 3, 2, 0, 1, 5, 7, 6]",0.143
"[4, 7, 6, 2, 5, 0, 3, 1]",0.143
"[4, 0, 5, 2, 3, 6, 1, 7]",0.143
"[2, 0, 1, 6, 5, 7, 3, 4]",0.143
"[0, 7, 3, 2, 5, 4, 6, 1]",0.143
"[6, 7, 5, 4, 1, 0, 3, 2]",0.143
"[0, 2, 7, 4, 3, 5, 6, 1]",0.167
"[5, 4, 1, 3, 7, 0, 2, 6]",0.167
"[7, 4, 0, 3, 2, 6, 1, 5]",0.167
"[0, 6, 2, 4, 3, 7, 5, 1]",0.167
"[4, 2, 5, 0, 3, 6, 1, 7]",0.167
"[1, 6, 0, 5, 3, 2, 7, 4]",0.167
"[0, 4, 7, 2, 6, 5, 1, 3]",0.167
"[6, 4, 3, 5, 7, 2, 1, 0]",0.167
"[1, 7, 6, 4, 5, 2, 0, 3]",0.167
"[6, 5, 0, 1, 4, 3, 7, 2]",0.167
"[6, 7, 5, 4, 1, 3, 0, 2]",0.200
"[4, 2, 5, 3, 0, 6, 1, 7]",0.200
"[0, 4, 3, 6, 2, 1, 5, 7]",0.200
"[5, 0, 3, 1, 2, 4, 6, 7]",0.200
"[6, 4, 2, 5, 0, 1, 3, 7]",0.200
"[5, 2, 1, 6, 7, 0, 4, 3]",0.200
"[1, 6, 2, 5, 0, 7, 4, 3]",0.200
"[0, 1, 7, 2, 5, 6, 4, 3]",0.200
"[0, 6, 5, 3, 2, 7, 4, 1]",0.200
"[0, 6, 1, 4, 2, 3, 5, 7]",0.200
"[5, 0, 3, 1, 7, 4, 6, 2]",0.250
"[0, 5, 1, 6, 4, 3, 7, 2]",0.250
"[3, 7, 5, 2, 0, 1, 4, 6]",0.250
"[5, 0, 3, 1, 6, 2, 4, 7]",0.250
"[0, 5, 6, 4, 2, 7, 1, 3]",0.250
"[6, 2, 1, 4, 0, 3, 5, 7]",0.250
"[5, 2, 0, 3, 7, 1, 6, 4]",0.250
"[5, 0, 3, 6, 2, 1, 4, 7]",0.250
"[3, 7, 5, 1, 4, 6, 0, 2]",0.333
"[1, 7, 5, 0, 3, 6, 4, 2]",0.333
"[4, 6, 0, 7, 1, 3, 5, 2]",0.333
"[6, 3, 0, 4, 7, 5, 2, 1]",0.500
"[3, 6, 0, 1, 5, 7, 2, 4]",0.500
"[4, 3, 5, 6, 7, 0, 1, 2]",0.100
"[1, 3, 7, 4, 5, 6, 0, 2]",0.100
"[7, 6, 4, 3, 5, 0, 1, 2]",0.111
"[1, 6, 7, 4, 5, 2, 0, 3]",0.111
"[5, 4, 7, 1, 6, 0, 3, 2]",0.111
"[5, 6, 7, 3, 4, 1, 2, 0]",0.111
"[6, 7, 4, 5, 1, 3, 0, 2]",0.111
"[2, 1, 0, 4, 6, 7, 5, 3]",0.125
"[2, 0, 1, 6, 5, 4, 7, 3]",0.125
"[0, 2, 3, 4, 7, 5, 6, 1]",0.143
"[4, 3, 2, 0, 1, 5, 7, 6]",0.143
"[4, 7, 6, 2, 5, 0, 3, 1]",0.143
"[4, 0, 5, 2, 3, 6, 1, 7]",0.143
"[2, 0, 1, 6, 5, 7, 3, 4]",0.143
"[0, 7, 3, 2, 5, 4, 6, 1]",0.143
"[6, 7, 5, 4, 1, 0, 3, 2]",0.143
"[0, 2, 7, 4, 3, 5, 6, 1]",0.167
"[5, 4, 1, 3, 7, 0, 2, 6]",0.167
"[7, 4, 0, 3, 2, 6, 1, 5]",0.167
"[0, 6, 2, 4, 3, 7, 5, 1]",0.167
"[4, 2, 5, 0, 3, 6, 1, 7]",0.167
"[1, 6, 0, 5, 3, 2, 7, 4]",0.167
"[0, 4, 7, 2, 6, 5, 1, 3]",0.167
"[6, 4, 3, 5, 7, 2, 1, 0]",0.167
"[6, 1, 2, 5, 0, 4, 3, 7]",0.167
"[1, 7, 6, 4, 5, 2, 0, 3]",0.167
"[6, 5, 0, 1, 4, 3, 7, 2]",0.167
"[6, 7, 5, 4, 1, 3, 0, 2]",0.200
"[4, 2, 5, 3, 0, 6, 1, 7]",0.200
"[0, 4, 3, 6, 2, 1, 5, 7]",0.200
"[5, 0, 3, 1, 2, 4, 6, 7]",0.200
"[6, 4, 2, 5, 0, 1, 3, 7]",0.200
"[5, 2, 1, 6, 7, 0, 4, 3]",0.200
"[1, 6, 2, 5, 0, 7, 4, 3]",0.200
"[0, 1, 7, 2, 5, 6, 4, 3]",0.200
"[0, 6, 5, 3, 2, 7, 4, 1]",0.200
"[0, 6, 1, 4, 2, 3, 5, 7]",0.200
"[5, 0, 3, 1, 7, 4, 6, 2]",0.250
"[0, 5, 1, 6, 4, 3, 7, 2]",0.250
"[3, 7, 5, 2, 0, 1, 4, 6]",0.250
"[5, 0, 3, 1, 6, 2, 4, 7]",0.250
"[0, 5, 6, 4, 2, 7, 1, 3]",0.250
"[6, 2, 1, 4, 0, 3, 5, 7]",0.250
"[5, 2, 0, 3, 7, 1, 6, 4]",0.250
"[5, 0, 3, 6, 2, 1, 4, 7]",0.250
"[3, 7, 5, 1, 4, 6, 0, 2]",0.333
"[1, 7, 5, 0, 3, 6, 4, 2]",0.333
"[4, 6, 0, 7, 1, 3, 5, 2]",0.333
"[6, 3, 0, 4, 7, 5, 2, 1]",0.500
"[3, 6, 0, 1, 5, 7, 2, 4]",0.500
"[1, 3, 7, 4, 5, 6, 0, 2]",0.100
"[7, 6, 4, 3, 5, 0, 1, 2]",0.111
"[1, 6, 7, 4, 5, 2, 0, 3]",0.111
"[5, 4, 7, 1, 6, 0, 3, 2]",0.111
"[5, 6, 7, 3, 4, 1, 2, 0]",0.111
"[6, 7, 4, 5, 1, 3, 0, 2]",0.111
"[2, 1, 0, 4, 6, 7, 5, 3]",0.125
"[2, 0, 1, 6, 5, 4, 7, 3]",0.125
"[0, 2, 3, 4, 7, 5, 6, 1]",0.143
"[4, 3, 2, 0, 1, 5, 7, 6]",0.143
"[4, 7, 6, 2, 5, 0, 3, 1]",0.143
"[4, 0, 5, 2, 3, 6, 1, 7]",0.143
"[2, 0, 1, 6, 5, 7, 3, 4]",0.143
"[0, 7, 3, 2, 5, 4, 6, 1]",0.143
"[6, 7, 5, 4, 1, 0, 3, 2]",0.143
"[0, 2, 7, 4, 3, 5, 6, 1]",0.167
"[5, 4, 1, 3, 7, 0, 2, 6]",0.167
"[7, 4, 0, 3, 2, 6, 1, 5]",0.167
"[0, 6, 2, 4, 3, 7, 5, 1]",0.167
"[4, 2, 5, 0, 3, 6, 1, 7]",0.167
"[1, 6, 0, 5, 3, 2, 7, 4]",0.167
"[0, 4, 7, 2, 6, 5, 1, 3]",0.167
"[6, 4, 3, 5, 7, 2, 1, 0]",0.167
"[6, 1, 2, 5, 0, 4, 3, 7]",0.167
"[4, 7, 6, 0, 1, 3, 5, 2]",0.167
"[1, 7, 6, 4, 5, 2, 0, 3]",0.167
"[6, 5, 0, 1, 4, 3, 7, 2]",0.167
"[6, 7, 5, 4, 1, 3, 0, 2]",0.200
"[4, 2, 5, 3, 0, 6, 1, 7]",0.200
"[0, 4, 3, 6, 2, 1, 5, 7]",0.200
"[5, 0, 3, 1, 2, 4, 6, 7]",0.200
"[6, 4, 2, 5, 0, 1, 3, 7]",0.200
"[5, 2, 1, 6, 7, 0, 4, 3]",0.200
"[1, 6, 2, 5, 0, 7, 4, 3]",0.200
"[0, 1, 7, 2, 5, 6, 4, 3]",0.200
"[0, 6, 5, 3, 2, 7, 4, 1]",0.200
"[0, 6, 1, 4, 2, 3, 5, 7]",0.200
"[5, 0, 3, 1, 7, 4, 6, 2]",0.250
"[0, 5, 1, 6, 4, 3, 7, 2]",0.250
"[3, 7, 5, 2, 0, 1, 4, 6]",0.250
"[5, 0, 3, 1, 6, 2, 4, 7]",0.250
"[0, 5, 6, 4, 2, 7, 1, 3]",0.250
"[6, 2, 1, 4, 0, 3, 5, 7]",0.250
"[5, 2, 0, 3, 7, 1, 6, 4]",0.250
"[5, 0, 3, 6, 2, 1, 4, 7]",0.250
"[3, 7, 5, 1, 4, 6, 0, 2]",0.333
"[1, 7, 5, 0, 3, 6, 4, 2]",0.333
"[4, 6, 0, 7, 1, 3, 5, 2]",0.333
"[6, 3, 0, 4, 7, 5, 2, 1]",0.500
"[3, 6, 0, 1, 5, 7, 2, 4]",0.500
"[7, 6, 4, 3, 5, 0, 1, 2]",0.111
"[1, 6, 7, 4, 5, 2, 0, 3]",0.111
"[5, 4, 7, 1, 6, 0, 3, 2]",0.111
"[5, 6, 7, 3, 4, 1, 2, 0]",0.111
"[6, 7, 4, 5, 1, 3, 0, 2]",0.111
"[2, 1, 0, 4, 6, 7, 5, 3]",0.125
"[2, 0, 1, 6, 5, 4, 7, 3]",0.125
"[0, 2, 3, 4, 7, 5, 6, 1]",0.143
"[4, 3, 2, 0, 1, 5, 7, 6]",0.143
"[4, 7, 6, 2, 5, 0, 3, 1]",0.143
"[4, 0, 5, 2, 3, 6, 1, 7]",0.143
"[2, 0, 1, 6, 5, 7, 3, 4]",0.143
"[0, 7, 3, 2, 5, 4, 6, 1]",0.143
"[6, 7, 5, 4, 1, 0, 3, 2]",0.143
"[0, 2, 7, 4, 3, 5, 6, 1]",0.167
"[5, 4, 1, 3, 7, 0, 2, 6]",0.167
"[7, 4, 0, 3, 2, 6, 1, 5]",0.167
"[0, 6, 2, 4, 3, 7, 5, 1]",0.167
"[4, 2, 5, 0, 3, 6, 1, 7]",0.167
"[1, 6, 0, 5, 3, 2, 7, 4]",0.167
"[0, 4, 7, 2, 6, 5, 1, 3]",0.167
"[6, 4, 3, 5, 7, 2, 1, 0]",0.167
"[6, 1, 2, 5, 0, 4, 3, 7]",0.167
"[4, 7, 6, 0, 1, 3, 5, 2]",0.167
"[1, 7, 6, 4, 5, 2, 0, 3]",0.167
"[6, 5, 0, 1, 4, 3, 7, 2]",0.167
"[6, 7, 5, 4, 1, 3, 0, 2]",0.200
"[4, 2, 5, 3, 0, 6, 1, 7]",0.200
"[0, 4, 3, 6, 2, 1, 5, 7]",0.200
"[5, 0, 3, 1, 2, 4, 6, 7]",0.200
"[6, 4, 2, 5, 0, 1, 3, 7]",0.200
"[5, 2, 1, 6, 7, 0, 4, 3]",0.200
"[1, 6, 2, 5, 0, 7, 4, 3]",0.200
"[0, 1, 7, 2, 5, 6, 4, 3]",0.200
"[0, 6, 5, 3, 2, 7, 4, 1]",0.200
"[0, 6, 1, 4, 2, 3, 5, 7]",0.200
"[5, 0, 3, 1, 7, 4, 6, 2]",0.250
"[1, 6, 4, 2, 7, 0, 5, 3]",0.250
"[0, 5, 1, 6, 4, 3, 7, 2]",0.250
"[3, 7, 5, 2, 0, 1, 4, 6]",0.250
"[5, 0, 3, 1, 6, 2, 4, 7]",0.250
"[0, 5, 6, 4, 2, 7, 1, 3]",0.250
"[6, 2, 1, 4, 0, 3, 5, 7]",0.250
"[5, 2, 0, 3, 7, 1, 6, 4]",0.250
"[5, 0, 3, 6, 2, 1, 4, 7]",0.250
"[3, 7, 5, 1, 4, 6, 0, 2]",0.333
"[1, 7, 5, 0, 3, 6, 4, 2]",0.333
"[4, 6, 0, 7, 1, 3, 5, 2]",0.333
"[6, 3, 0, 4, 7, 5, 2, 1]",0.500
"[3, 6, 0, 1, 5, 7, 2, 4]",0.500
"[1, 6, 7, 4, 5, 2, 0, 3]",0.111
"[5, 4, 7, 1, 6, 0, 3, 2]",0.111
"[5, 6, 7, 3, 4, 1, 2, 0]",0.111
"[6, 7, 4, 5, 1, 3, 0, 2]",0.111
"[2, 1, 0, 4, 6, 7, 5, 3]",0.125
"[2, 0, 1, 6, 5, 4, 7, 3]",0.125
"[0, 2, 3, 4, 7, 5, 6, 1]",0.143
"[4, 3, 2, 0, 1, 5, 7, 6]",0.143
"[4, 7, 6, 2, 5, 0, 3, 1]",0.143
"[4, 0, 5, 2, 3, 6, 1, 7]",0.143
"[2, 0, 1, 6, 5, 7, 3, 4]",0.143
"[6, 7, 5, 1, 0, 2, 3, 4]",0.143
"[0, 7, 3, 2, 5, 4, 6, 1]",0.143
"[6, 7, 5, 4, 1, 0, 3, 2]",0.143
"[0, 2, 7, 4, 3, 5, 6, 1]",0.167
"[5, 4, 1, 3, 7, 0, 2, 6]",0.167
"[7, 4, 0, 3, 2, 6, 1, 5]",0.167
"[0, 6, 2, 4, 3, 7, 5, 1]",0.167
"[4, 2, 5, 0, 3, 6, 1, 7]",0.167
"[1, 6, 0, 5, 3, 2, 7, 4]",0.167
"[0, 4, 7, 2, 6, 5, 1, 3]",0.167
"[6, 4, 3, 5, 7, 2, 1, 0]",0.167
"[6, 1, 2, 5, 0, 4, 3, 7]",0.167
"[4, 7, 6, 0, 1, 3, 5, 2]",0.167
"[1, 7, 6, 4, 5, 2, 0, 3]",0.167
"[6, 5, 0, 1, 4, 3, 7, 2]",0.167
"[6, 7, 5, 4, 1, 3, 0, 2]",0.200
"[4, 2, 5, 3, 0, 6, 1, 7]",0.200
"[0, 4, 3, 6, 2, 1, 5, 7]",0.200
"[5, 0, 3, 1, 2, 4, 6, 7]",0.200
"[6, 4, 2, 5, 0, 1, 3, 7]",0.200
"[5, 2, 1, 6, 7, 0, 4, 3]",0.200
"[1, 6, 2, 5, 0, 7, 4, 3]",0.200
"[0, 1, 7, 2, 5, 6, 4, 3]",0.200
"[0, 6, 5, 3, 2, 7, 4, 1]",0.200
"[0, 6, 1, 4, 2, 3, 5, 7]",0.200
"[5, 0, 3, 1, 7, 4, 6, 2]",0.250
"[1, 6, 4, 2, 7, 0, 5, 3]",0.250
"[0, 5, 1, 6, 4, 3, 7, 2]",0.250
"[3, 7, 5, 2, 0, 1, 4, 6]",0.250
"[5, 0, 3, 1, 6, 2, 4, 7]",0.250
"[0, 5, 6, 4, 2, 7, 1, 3]",0.250
"[6, 2, 1, 4, 0, 3, 5, 7]",0.250
"[5, 2, 0, 3, 7, 1, 6, 4]",0.250
"[5, 0, 3, 6, 2, 1, 4, 7]",0.250
"[3, 7, 5, 1, 4, 6, 0, 2]",0.333
"[1, 7, 5, 0, 3, 6, 4, 2]",0.333
"[4, 6, 0, 7, 1, 3, 5, 2]",0.333
"[6, 3, 0, 4, 7, 5, 2, 1]",0.500
"[3, 6, 0, 1, 5, 7, 2, 4]",0.500
"[5, 6, 7, 3, 4, 1, 2, 0]",0.111
"[6, 7, 4, 5, 1, 3, 0, 2]",0.111
"[2, 1, 0, 4, 6, 7, 5, 3]",0.125
"[2, 0, 1, 6, 5, 4, 7, 3]",0.125
"[0, 2, 3, 4, 7, 5, 6, 1]",0.143
"[4, 3, 2, 0, 1, 5, 7, 6]",0.143
"[4, 7, 6, 2, 5, 0, 3, 1]",0.143
"[4, 0, 5, 2, 3, 6, 1, 7]",0.143
"[2, 0, 1, 6, 5, 7, 3, 4]",0.143
"[6, 7, 5, 1, 0, 2, 3, 4]",0.143
"[0, 7, 3, 2, 5, 4, 6, 1]",0.143
"[6, 7, 5, 4, 1, 0, 3, 2]",0.143
"[0, 2, 7, 4, 3, 5, 6, 1]",0.167
"[5, 4, 1, 3, 7, 0, 2, 6]",0.167
"[7, 4, 0, 3, 2, 6, 1, 5]",0.167
"[0, 6, 2, 4, 3, 7, 5, 1]",0.167
